Workspace Name,Bound Object,Target Object,Field Code / Name,Field Label,Workspace Tab Location,"Grid Position (Row, Col)",Required Option,Read Only Option,Object Field ID,Data Type,Is System Field,Is Nullable,Is Lookup,Max Length,In Workspace Layout
Contact_Workspace,Contact,Contact,Contact.OrgId,OrgId,Customer Details,"Row 5, Col 1",No,No,12,Integer,Yes,Yes,Yes,—,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.CustomFields.c$org_id_temp,c$org_id_temp,Customer Details,"Row 6, Col 0",No,No,13,Integer,No,Yes,No,—,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.CustomFields.c$vip_status,c$vip_status,Customer Details,"Row 6, Col 1",No,No,14,Text,No,Yes,No,40,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.CustomFields.c$loyalty_tier,c$loyalty_tier,Customer Details,"Row 7, Col 0",No,No,15,Menu,No,Yes,No,—,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.CustomFields.c$customer_number,c$customer_number,Customer Details,"Row 7, Col 1",No,No,16,Text,No,Yes,No,50,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.CustomFields.c$is_internal,c$is_internal,Customer Details,"Row 8, Col 0",No,No,17,Yes/No,No,Yes,No,—,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.CustomFields.c$is_manual,c$is_manual,Customer Details,"Row 8, Col 1",No,No,18,Yes/No,No,Yes,No,—,Yes (Layout Used)
contact1,Contact,Contact,Contact.Name.First,First,Summary,"Row 0, Col 0",OnNew:~any~;OnEdit:~any~,OnEdit:~any~,1,Text,Yes,No,No,80,Yes (Layout Used)
contact1,Contact,Contact,Contact.State,State,Summary,"Row 0, Col 1",No,OnEdit:~any~,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
contact1,Contact,Contact,Contact.Name.Last,Last,Summary,"Row 1, Col 0",OnNew:~any~;OnEdit:~any~,OnEdit:~any~,2,Text,Yes,No,No,80,Yes (Layout Used)
contact1,Contact,Contact,Contact.OrgId,OrgId,Summary,"Row 1, Col 1",No,No,12,Integer,Yes,Yes,Yes,—,Yes (Layout Used)
contact1,Contact,Contact,Contact.Email,Email,Summary,"Row 2, Col 0",No,OnNew:~any~;OnEdit:~any~,4,Text,Yes,No,No,255,Yes (Layout Used)
contact1,Contact,Contact,Contact.SalesAcctId,SalesAcctId,Summary,"Row 2, Col 1",No,OnNew:~any~;OnEdit:~any~,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
contact1,Contact,Contact,Contact.PhOffice,PhOffice,Summary,"Row 3, Col 0",No,No,5,Phone,Yes,Yes,No,40,Yes (Layout Used)
contact1,Contact,Contact,Contact.C$PhoneExt,C$PhoneExt,Summary,"Row 3, Col 1",,,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
contact1,Contact,Contact,Contact.C$DsnPhone,C$DsnPhone,Summary,"Row 4, Col 0",,,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
contact1,Contact,Contact,Contact.C$DsnPhoneExt,C$DsnPhoneExt,Summary,"Row 4, Col 1",,,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
contact1,Contact,Contact,Contact.C$International,C$International,Summary,"Row 5, Col 0",,,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
contact1,Contact,Contact,Contact.C$IntPhoneExt,C$IntPhoneExt,Summary,"Row 5, Col 1",,,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
contact1,Contact,Contact,Contact.Addr,Addr,Summary,"Row 6, Col 0",No,OnNew:~any~;OnEdit:~any~,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
contact1,Contact,Contact,Contact.Title,Title,Summary,"Row 6, Col 1",No,OnNew:~any~;OnEdit:~any~,3,Text,Yes,Yes,No,40,Yes (Layout Used)
contact1,Contact,Contact,Contact.CtypeId,CtypeId,Summary,"Row 7, Col 0",No,OnNew:~any~;OnEdit:~any~,11,Menu,Yes,Yes,Yes,—,Yes (Layout Used)
contact1,Contact,Contact,Contact.Login,Login,Summary,"Row 7, Col 1",,OnNew:~any~;OnEdit:~any~,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
contact1,Contact,Contact,Contact.MaOptIn,MaOptIn,Summary,"Row 8, Col 0",No,OnNew:~any~;OnEdit:~any~,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
